sido,sigungu,hospital_count,home_count,total_count
강원,원주시,6,54,60
강원,춘천시,8,43,51
강원,강릉시,2,41,43
강원,삼척시,1,7,8
강원,속초시,2,6,8
강원,홍천군,2,4,6
강원,동해시,3,2,5
강원,영월군,1,4,5
강원,철원군,1,4,5
강원,태백시,1,4,5
강원,정선군,0,4,4
강원,평창군,1,3,4
강원,인제군,1,1,2
강원,화천군,0,2,2
강원,횡성군,1,1,2
경기,남양주시,17,83,100
경기,고양시,0,81,81
경기,파주시,17,42,59
경기,시흥시,12,41,53
경기,부천시,0,50,50
경기,화성시,0,50,50
경기,양주시,10,39,49
경기,안산시,0,47,47
경기,의정부시,8,38,46
경기,용인시,0,44,44
경기,수원시,0,42,42
경기,포천시,4,37,41
경기,김포시,6,23,29
경기,안성시,7,19,26
경기,평택시,9,17,26
경기,광주시,5,20,25
경기,군포시,3,21,24
경기,동두천시,7,15,22
경기,성남시,0,21,21
경기,하남시,6,15,21
경기,오산시,5,13,18
경기,구리시,4,12,16
경기,양평군,7,9,16
경기,가평군,5,9,14
경기,고양일산동구,12,0,12
경기,이천시,5,7,12
경기,광명시,3,8,11
경기,안산단원구,9,0,9
경기,여주시,6,3,9
경기,용인기흥구,9,0,9
경기,고양덕양구,8,0,8
경기,부천원미구,8,0,8
경기,수원장안구,8,0,8
경기,성남수정구,6,0,6
경기,안양만안구,6,0,6
경기,고양일산서구,5,0,5
경기,부천오정구,5,0,5
경기,성남분당구,5,0,5
경기,안산상록구,5,0,5
경기,안양시,0,5,5
경기,수원권선구,4,0,4
경기,수원영통구,4,0,4
경기,수원팔달구,4,0,4
경기,용인처인구,4,0,4
경기,의왕시,4,0,4
경기,화성만세구,4,0,4
경기,부천소사구,3,0,3
경기,성남중원구,3,0,3
경기,연천군,1,2,3
경기,용인수지구,3,0,3
경기,화성병점구,3,0,3
경기,과천시,0,2,2
경기,영등포구,0,2,2
경기,은평구,0,2,2
경기,화성효행구,1,0,1
경남,김해시,26,7,33
경남,양산시,12,8,20
경남,창원시,0,20,20
경남,밀양시,5,12,17
경남,거창군,3,12,15
경남,진주시,5,9,14
경남,산청군,1,12,13
경남,함안군,2,10,12
경남,창원마산합포구,11,0,11
경남,사천시,5,5,10
경남,창원의창구,10,0,10
경남,통영시,2,8,10
경남,함양군,0,10,10
경남,합천군,2,6,8
경남,창녕군,7,0,7
경남,창원마산회원구,7,0,7
경남,하동군,2,4,6
경남,거제시,2,3,5
경남,의령군,1,3,4
경남,창원진해구,4,0,4
경남,고성군,2,0,2
경남,창원성산구,2,0,2
경남,남해군,1,0,1
경남,창원시 마산합포구,0,1,1
경북,구미시,10,43,53
경북,경산시,9,38,47
경북,김천시,3,20,23
경북,영주시,4,18,22
경북,포항북구,20,0,20
경북,포항시,0,19,19
경북,상주시,2,13,15
경북,문경시,2,12,14
경북,경주시,10,3,13
경북,예천군,2,7,9
경북,청도군,5,4,9
경북,칠곡군,4,5,9
경북,의성군,5,3,8
경북,봉화군,1,6,7
경북,안동시,7,0,7
경북,영덕군,2,5,7
경북,포항남구,6,0,6
경북,영천시,4,1,5
경북,울진군,2,3,5
경북,고령군,1,3,4
경북,성주군,4,0,4
경북,영양군,0,3,3
경북,청송군,0,2,2
경북,서구,0,1,1
경북,울릉군,0,1,1
경북,포항시 북구,0,1,1
광주,광주북구,18,0,18
광주,광주광산구,15,0,15
광주,서구,0,14,14
광주,광산구,0,11,11
광주,광주남구,9,0,9
광주,광주동구,9,0,9
광주,북구,0,9,9
광주,광주서구,7,0,7
광주,남구,0,3,3
광주,동구,0,1,1
대구,달서구,0,33,33
대구,달성군,0,26,26
대구,동구,0,19,19
대구,북구,0,16,16
대구,수성구,0,16,16
대구,대구북구,12,0,12
대구,남구,0,11,11
대구,대구달서구,11,0,11
대구,대구서구,10,0,10
대구,대구수성구,9,0,9
대구,대구달성군,8,0,8
대구,대구남구,7,0,7
대구,대구동구,7,0,7
대구,군위군,0,2,2
대구,대구중구,1,0,1
대전,동구,0,16,16
대전,서구,0,16,16
대전,대전동구,14,0,14
대전,대전중구,11,0,11
대전,유성구,0,11,11
대전,대덕구,0,10,10
대전,대전유성구,9,0,9
대전,대전서구,6,0,6
대전,중구,0,5,5
대전,대전대덕구,3,0,3
미상,서구,0,15,15
미상,고양시,0,10,10
미상,남양주시,0,9,9
미상,동구,0,8,8
미상,김제시,0,4,4
미상,북구,0,4,4
미상,평택시,0,4,4
미상,가평군,0,3,3
미상,강북구,0,3,3
미상,군산시,0,3,3
미상,김포시,0,3,3
미상,목포시,0,3,3
미상,세종,0,3,3
미상,수영구,0,3,3
미상,아산시,0,3,3
미상,양주시,0,3,3
미상,양평군,0,3,3
미상,영월군,0,3,3
미상,영주시,0,3,3
미상,용인시,0,3,3
미상,은평구,0,3,3
미상,음성군,0,3,3
미상,중구,0,3,3
미상,청도군,0,3,3
미상,청주시,0,3,3
미상,충주시,0,3,3
미상,강동구,0,2,2
미상,광명시,0,2,2
미상,달성군,0,2,2
미상,당진시,0,2,2
미상,동대문구,0,2,2
미상,부여군,0,2,2
미상,사상구,0,2,2
미상,사천시,0,2,2
미상,순천시,0,2,2
미상,용산구,0,2,2
미상,의정부시,0,2,2
미상,천안시,0,2,2
미상,포천시,0,2,2
미상,포항시,0,2,2
미상,화성시,0,2,2
미상,강남구,0,1,1
미상,강릉시,0,1,1
미상,고령군,0,1,1
미상,고흥군,0,1,1
미상,공주시,0,1,1
미상,관악구,0,1,1
미상,광산구,0,1,1
미상,광주시,0,1,1
미상,구미시,0,1,1
미상,금산군,0,1,1
미상,기장군,0,1,1
미상,김천시,0,1,1
미상,남구,0,1,1
미상,남동구,0,1,1
미상,남원시,0,1,1
미상,달서구,0,1,1
미상,담양군,0,1,1
미상,동작구,0,1,1
미상,문경시,0,1,1
미상,밀양시,0,1,1
미상,부평구,0,1,1
미상,사하구,0,1,1
미상,서귀포시,0,1,1
미상,서대문구,0,1,1
미상,서천군,0,1,1
미상,성동구,0,1,1
미상,수성구,0,1,1
미상,시흥시,0,1,1
미상,안산시,0,1,1
미상,안성시,0,1,1
미상,양산시,0,1,1
미상,연수구,0,1,1
미상,연제구,0,1,1
미상,연천군,0,1,1
미상,영동군,0,1,1
미상,영등포구,0,1,1
미상,영양군,0,1,1
미상,예산군,0,1,1
미상,완도군,0,1,1
미상,원주시,0,1,1
미상,익산시,0,1,1
미상,장성군,0,1,1
미상,정읍시,0,1,1
미상,진주시,0,1,1
미상,창원시,0,1,1
미상,철원군,0,1,1
미상,춘천시,0,1,1
미상,태안군,0,1,1
미상,평창군,0,1,1
미상,하남시,0,1,1
미상,함안군,0,1,1
미상,홍성군,0,1,1
미상,홍천군,0,1,1
미상,화순군,0,1,1
부산,부산사하구,20,0,20
부산,부산금정구,15,0,15
부산,부산동래구,15,0,15
부산,부산북구,13,0,13
부산,부산사상구,13,0,13
부산,부산연제구,12,0,12
부산,부산진구,12,0,12
부산,부산해운대구,12,0,12
부산,부산수영구,9,0,9
부산,부산남구,7,0,7
부산,북구,0,7,7
부산,해운대구,0,7,7
부산,기장군,0,6,6
부산,사상구,0,6,6
부산,사하구,0,6,6
부산,부산기장군,5,0,5
부산,부산동구,5,0,5
부산,부산영도구,5,0,5
부산,부산서구,4,0,4
부산,부산중구,3,0,3
부산,서구,0,3,3
부산,수영구,0,2,2
부산,영도구,0,2,2
부산,금정구,0,1,1
부산,연제구,0,1,1
부산,중구,0,1,1
서울,강서구,4,19,23
서울,도봉구,6,12,18
서울,은평구,5,13,18
서울,강동구,5,7,12
서울,중랑구,2,10,12
서울,강북구,4,7,11
서울,관악구,2,8,10
서울,광진구,2,8,10
서울,동대문구,5,5,10
서울,구로구,7,2,9
서울,서대문구,5,4,9
서울,성북구,8,1,9
서울,영등포구,9,0,9
서울,종로구,1,8,9
서울,송파구,7,1,8
서울,노원구,7,0,7
서울,서초구,4,3,7
서울,성동구,3,4,7
서울,강남구,6,0,6
서울,금천구,3,3,6
서울,동작구,1,5,6
서울,마포구,3,1,4
서울,양천구,2,1,3
서울,중구,0,1,1
세종,세종,0,15,15
세종,세종시,4,0,4
울산,울산남구,15,0,15
울산,남구,0,8,8
울산,울산울주군,8,0,8
울산,울산북구,6,0,6
울산,울산중구,5,0,5
울산,북구,0,4,4
울산,울산동구,3,0,3
울산,울주군,0,3,3
울산,동구,0,2,2
울산,중구,0,2,2
인천,서구,0,55,55
인천,남동구,0,41,41
인천,미추홀구,0,36,36
인천,연수구,0,26,26
인천,부평구,0,23,23
인천,인천남동구,14,0,14
인천,중구,0,14,14
인천,인천미추홀구,13,0,13
인천,인천서구,11,0,11
인천,인천계양구,5,0,5
인천,인천부평구,5,0,5
인천,인천중구,4,0,4
인천,강화군,0,3,3
인천,인천연수구,3,0,3
인천,옹진군,0,2,2
인천,인천강화군,2,0,2
전남,여수시,10,17,27
전남,화순군,13,13,26
전남,순천시,7,18,25
전남,목포시,11,8,19
전남,무안군,4,12,16
전남,고흥군,1,14,15
전남,담양군,4,11,15
전남,광양시,4,9,13
전남,나주시,7,5,12
전남,영암군,1,11,12
전남,곡성군,1,7,8
전남,구례군,2,6,8
전남,장성군,2,6,8
전남,완도군,0,7,7
전남,보성군,3,2,5
전남,영광군,1,3,4
전남,신안군,2,1,3
전남,진도군,1,2,3
전남,해남군,1,2,3
전남,강진군,1,1,2
전남,장흥군,1,1,2
전남,함평군,1,1,2
전북,익산시,8,21,29
전북,군산시,7,19,26
전북,김제시,3,19,22
전북,전주완산구,17,0,17
전북,전주시,0,16,16
전북,전주덕진구,15,0,15
전북,고창군,5,7,12
전북,정읍시,4,7,11
전북,부안군,2,8,10
전북,완주군,3,5,8
전북,남원시,4,3,7
전북,임실군,1,5,6
전북,순창군,2,2,4
전북,진안군,0,3,3
전북,장수군,0,2,2
전북,무주군,1,0,1
제주,제주시,10,20,30
제주,서귀포시,0,19,19
제주,서귀포 시,0,1,1
충남,천안시,0,30,30
충남,아산시,6,19,25
충남,논산시,10,12,22
충남,부여군,3,18,21
충남,서천군,4,16,20
충남,당진시,3,16,19
충남,공주시,7,10,17
충남,홍성군,3,12,15
충남,금산군,2,12,14
충남,서산시,1,11,12
충남,천안동남구,10,0,10
충남,청양군,2,7,9
충남,예산군,0,8,8
충남,천안서북구,7,0,7
충남,보령시,2,0,2
충남,태안군,1,1,2
충남,계룡시,1,0,1
충북,청주시,0,50,50
충북,충주시,7,19,26
충북,제천시,5,11,16
충북,영동군,2,13,15
충북,옥천군,3,12,15
충북,진천군,1,14,15
충북,음성군,2,9,11
충북,괴산군,1,9,10
충북,증평군,1,8,9
충북,청주서원구,6,0,6
충북,보은군,3,1,4
충북,청주시 상당구,0,2,2
충북,단양군,1,0,1
충북,청주상당구,1,0,1
충북,청주시 흥덕구,0,1,1
충북,청주청원구,1,0,1
충북,청주흥덕구,1,0,1
